"gamma_v","variant","rep","N","lmm_auc","lmm_slope","lmm_intercept","lmm_nb10","lmm_nb20","gbm_auc","gbm_slope","gbm_intercept","gbm_nb10","gbm_nb20","lmm_coverage_slope","gbm_coverage_slope","mean_visits","prevalence","gbm_wins_auc"
0,"outcome",1,300,0.764565735325969,1.0000000000017,-1.10345697600665e-12,0.788888888888889,0.763333333333333,0.779005125983683,1.0000000000093,-5.36703221036448e-12,0.789259259259259,0.763333333333333,1,1,6.05666666666667,0.81,1
0,"outcome",2,300,0.776566565862578,1.00000000000037,-1.78616633313384e-13,0.781481481481481,0.754166666666667,0.778254448273437,1.00000000004853,-2.83643769875357e-11,0.781481481481481,0.754166666666667,1,1,6.09666666666667,0.803333333333333,1
0,"outcome",3,300,0.770769351917474,1.000000000033,-2.29484002595828e-11,0.811111111111111,0.7875,0.776596582408064,1.00000001338728,-9.41878584233818e-09,0.811111111111111,0.7875,1,1,6.03666666666667,0.83,1
0,"outcome",4,300,0.786551470095774,1.00000000000002,-2.69933953170562e-14,0.767037037037037,0.738333333333333,0.792847096644565,1.00000000006064,-3.04647695773048e-11,0.767037037037037,0.738333333333333,1,1,6.05333333333333,0.79,1
0,"outcome",5,300,0.83638068448195,1.00000000221534,-9.9872681672223e-10,0.768518518518519,0.743333333333333,0.838055053244927,0.999999968340567,1.3819913382609e-08,0.768148148148148,0.743333333333333,1,1,6.03666666666667,0.79,1
0,"outcome",6,300,0.765761047463175,1.0000000000001,-5.96344622551194e-14,0.759259259259259,0.73,0.775581014729951,1.00000000006757,-3.43719849907461e-11,0.759259259259259,0.7275,1,1,5.91333333333333,0.783333333333333,1
0,"outcome",7,300,0.787411198533344,1.00000000005948,-3.928107323253e-11,0.803703703703704,0.779166666666667,0.796425024826216,1.00000000672065,-4.20866130387258e-09,0.803703703703704,0.779166666666667,1,1,6.07333333333333,0.823333333333333,1
0,"outcome",8,300,0.776840131270511,1.00000000000045,-1.74687419911438e-13,0.766666666666667,0.738333333333333,0.78259995981515,1.0000000001023,-5.2400236743419e-11,0.767037037037037,0.738333333333333,1,1,5.90666666666667,0.79,1
0,"outcome",9,300,0.776105721488045,1.00000000000465,-2.98330290581447e-12,0.803703703703704,0.78,0.791154228095638,1.00000000044437,-3.14763890156832e-10,0.803703703703704,0.780833333333333,1,1,6.04666666666667,0.823333333333333,1
0,"outcome",10,300,0.781748610208649,1.00000000009616,-5.59647319020807e-11,0.788888888888889,0.764166666666667,0.786585806078983,1.00000000192943,-1.11009969380215e-09,0.788888888888889,0.764166666666667,1,1,6.07666666666667,0.81,1
0,"outcome",11,300,0.768434048974552,1.00000000000791,-5.35475541839838e-12,0.774444444444444,0.748333333333333,0.783524247204884,1.00000000068786,-4.89682806408477e-10,0.775185185185185,0.748333333333333,1,1,5.94333333333333,0.796666666666667,1
0,"outcome",12,300,0.725007527853056,1.00000000000005,-3.57294617233355e-14,0.8,0.775,0.743827160493827,1.00000000007553,-5.5633480297428e-11,0.8,0.775,1,1,6.05666666666667,0.82,1
0,"outcome",13,300,0.76734693877551,1.00000000000469,-2.74729143949319e-12,0.796296296296296,0.770833333333333,0.770909090909091,1.0000000020176,-1.36684521345566e-09,0.796296296296296,0.770833333333333,1,1,6.14666666666667,0.816666666666667,1
0,"outcome",14,300,0.813640568497183,1,-1.42261397849216e-15,0.825925925925926,0.804166666666667,0.811369943654865,1.00000000000009,-5.58148042250476e-14,0.825925925925926,0.804166666666667,1,1,6.13333333333333,0.843333333333333,0
0,"outcome",15,300,0.811194762684124,1.00000000005281,-1.55135813199833e-11,0.75962962962963,0.731666666666667,0.810671031096563,1.00000000009792,-3.76551457857576e-11,0.76,0.731666666666667,1,1,6.10333333333333,0.783333333333333,0
0,"outcome",16,300,0.765052575179157,1.00000000000524,-2.97776805332974e-12,0.767037037037037,0.739166666666667,0.774161141249749,1.00000000048677,-3.04281356313003e-10,0.767037037037037,0.739166666666667,1,1,6.01,0.79,1
0,"outcome",17,300,0.713615618661258,1.00000000152589,-7.86704910214644e-10,0.748148148148148,0.716666666666667,0.730666835699797,1.00000001067775,-6.81258862416476e-09,0.748148148148148,0.716666666666667,1,1,5.66,0.773333333333333,1
0,"outcome",18,300,0.753991138617343,1.00000000000018,-1.12802707606667e-13,0.781481481481481,0.754166666666667,0.755960334763345,1.00000000014522,-9.49461358446365e-11,0.781481481481481,0.754166666666667,1,1,6.15,0.803333333333333,1
0,"outcome",19,300,0.793372187584711,1.00000000000423,-2.04296185965397e-12,0.770740740740741,0.745833333333333,0.797980482515587,1.00000000011385,-6.06640940274269e-11,0.770740740740741,0.745,1,1,5.71333333333333,0.793333333333333,1
0,"outcome",20,300,0.792959601873536,1.00000000001248,-6.56465514034688e-12,0.792592592592593,0.766666666666667,0.796472482435597,1.00000000006649,-3.69473137817298e-11,0.792592592592593,0.764166666666667,1,1,5.95333333333333,0.813333333333333,1
