cluster,cluster_name,arm,n,prop,GADA_mean,GADA_sd,age_mean,age_sd,BMI_mean,BMI_sd,HbA1c_mean,HbA1c_sd,HOMA2_B_mean,HOMA2_B_sd,HOMA2_IR_mean,HOMA2_IR_sd
0,SAID,transport,412,0.0515,1.0,0.0,43.39130377361354,10.590710159778183,26.66914460754881,4.3156821269798185,8.15098828476354,1.6768851850049102,58.29342299318975,32.801618698911334,2.4298819800290787,1.2279057375215099
1,SIDD,transport,2290,0.28625,0.0,0.0,44.14879105451018,10.07412870160051,25.894059303014355,3.9570712958906067,9.563779400632567,1.272258143567766,40.9944892795224,19.164755772882998,2.0296853465107523,0.8940313225355873
2,SIRD,transport,504,0.063,0.03373015873015873,0.18071311854948252,53.41234886999373,9.770777227885908,27.535002104181945,3.949911570275567,8.07666744693668,1.6608992659352504,103.38401494435489,62.778000582189414,4.913278996376158,1.725003299195993
3,MOD,transport,3287,0.410875,0.0030422878004259203,0.05508135167082862,39.414297694457915,8.97008309041316,28.402735146178518,4.062428229561476,7.498098860516948,1.4672624075114282,75.03112425918256,42.1391927722552,2.621734798930709,1.1336170227469897
4,MARD,transport,1507,0.188375,0.0026542800265428003,0.05146836519777329,53.61306150047024,8.749316470384791,24.677744655973324,3.785829206172508,6.905597098901468,1.1755848403334443,52.51145605477709,25.64559104647064,1.9770876015177,0.7897136029744063
0,SAID,denovo,2760,0.345,0.0,0.0,40.06731956085073,10.091443163898457,28.093805520332477,4.172529191467046,6.894684961227569,1.2172800654757578,48.55712865064474,21.539274179841296,2.0430034385425113,0.7350196160571196
1,SIDD,denovo,2678,0.33475,0.0,0.0,48.86037660739806,10.223252704281181,25.583242268548428,3.9583004924882594,9.311165317527049,1.3617547141838378,49.7455266687198,21.963765977110526,2.0225419433416065,0.7395620017038012
2,SIRD,denovo,1112,0.139,0.0,0.0,44.67289268852479,10.583775372164537,26.82540009819025,4.233418962854596,8.076632994110186,1.566106258189896,54.51397179070542,26.693004233339646,4.744342350324548,1.1229873212832113
3,MOD,denovo,1007,0.125875,0.0,0.0,45.388814980412285,10.639212233713872,26.7711142095836,4.217593414978202,7.813493361946971,1.6084156105275322,138.98668472906414,40.20862783309582,2.2411400702056024,0.9627373486045092
4,MARD,denovo,443,0.055375,1.0,0.0,43.861780599212146,10.832724377556866,26.800661659667448,4.301692674629385,8.056102163282857,1.6820920985577283,63.0847862792198,40.978325255539545,2.5618581808657077,1.400595795582682
