level,method,tstr_mean,tstr_sd,trtr_mean,gap_mean
S1_plasmode_treat,logistic,0.8563761239174893,0.0062840204162909995,0.8574554470707191,0.001079323153229672
S1_plasmode_treat,rf,0.8259840238958467,0.00917236582325711,0.8314397396911167,0.005455715795270007
S1_plasmode_treat,tree,0.7906595105464719,0.015085558757779971,0.8050894602823231,0.014429949735851174
S1p_plasmode_outcome,logistic,0.854094244891339,0.0055979018555724035,0.8574554470707191,0.003361202179380074
S1p_plasmode_outcome,rf,0.8262171072588774,0.012783874130125524,0.8314397396911167,0.0052226324322392674
S1p_plasmode_outcome,tree,0.8037409821510771,0.0111696492427147,0.8050894602823231,0.0013484781312459448
S2_gan_epochs,logistic,0.48999519618862136,0.12483711230058368,0.8574554470707191,0.3674602508820977
S2_gan_epochs,rf,0.47276514189230756,0.04074662902676383,0.8314397396911167,0.3586745977988091
S2_gan_epochs,tree,0.485910264097518,0.03612833320635967,0.8050894602823231,0.319179196184805
S4_resample,logistic,0.8573900966908186,0.005921971825165142,0.8574554470707191,6.535037990055652e-05
S4_resample,rf,0.8319438525783167,0.00963725939032417,0.8314397396911167,-0.0005041128871999812
S4_resample,tree,0.8027967856006996,0.015035319474624444,0.8050894602823231,0.0022926746816233448
S5_random,logistic,0.5114451173277873,0.010611684882313508,0.8574554470707191,0.3460103297429318
S5_random,rf,0.5035191751998092,0.0127582841717314,0.8314397396911167,0.32792056449130763
S5_random,tree,0.4888661542724349,0.016170211150847564,0.8050894602823231,0.316223306009888
